unique_word,count,stem,syllables,length,weights
medullary,2,9.0,0.0,9.0,0.992859121579838
chief’,2,6.0,0.0,6.0,0.992859121579838
agains’,2,7.0,0.0,7.0,0.992859121579838
unbound,2,7.0,6.0,7.0,0.992859121579838
overborne,2,8.0,0.0,9.0,0.992859121579838
anangu,2,6.0,0.0,6.0,0.992859121579838
trapezes,2,6.0,0.0,8.0,0.992859121579838
pleadingly,2,10.0,0.0,10.0,0.992859121579838
decorum,2,7.0,7.0,7.0,0.992859121579838
plant’s,2,6.0,0.0,7.0,0.992859121579838
reconnect,2,9.0,8.0,9.0,0.992859121579838
creatives,2,7.0,0.0,9.0,0.992859121579838
bobbles,2,5.0,6.0,7.0,0.992859121579838
paperclips,2,9.0,0.0,10.0,0.992859121579838
teardropshaped,2,12.0,0.0,14.0,0.992859121579838
spotter,2,7.0,5.0,7.0,0.992859121579838
pertly,2,6.0,0.0,6.0,0.992859121579838
princess’s,2,9.0,0.0,10.0,0.992859121579838
disconnected,2,10.0,11.0,12.0,0.992859121579838
‘away,2,5.0,0.0,5.0,0.992859121579838
‘haste,2,5.0,0.0,6.0,0.992859121579838
stupefaction,2,9.0,0.0,12.0,0.992859121579838
ceeding,2,4.0,0.0,7.0,0.992859121579838
magnet’s,2,7.0,0.0,8.0,0.992859121579838
cei,2,3.0,0.0,3.0,0.992859121579838
aubrey,2,6.0,4.0,6.0,0.992859121579838
squander,2,8.0,7.0,8.0,0.992859121579838
ravaging,2,5.0,7.0,8.0,0.992859121579838
unpriestly,2,10.0,0.0,10.0,0.992859121579838
adjusts,2,6.0,6.0,7.0,0.992859121579838
forenoon,2,8.0,0.0,8.0,0.992859121579838
mitchells,2,7.0,0.0,9.0,0.992859121579838
proudest,2,8.0,7.0,8.0,0.992859121579838
sinfulness,2,3.0,0.0,10.0,0.992859121579838
halfruined,2,8.0,0.0,10.0,0.992859121579838
schoolnow,2,9.0,0.0,9.0,0.992859121579838
extricate,2,6.0,9.0,9.0,0.992859121579838
him…won’t,2,9.0,0.0,9.0,0.992859121579838
reinhold,2,8.0,7.0,8.0,0.992859121579838
forfeited,2,7.0,8.0,9.0,0.992859121579838
saillike,2,7.0,0.0,8.0,0.992859121579838
wolds,2,4.0,0.0,5.0,0.992859121579838
marrakesh,2,9.0,0.0,9.0,0.992859121579838
indwellers,2,6.0,0.0,10.0,0.992859121579838
align,2,5.0,4.0,5.0,0.992859121579838
steeltipped,2,8.0,0.0,11.0,0.992859121579838
12262,2,5.0,0.0,5.0,0.992859121579838
40230,2,5.0,0.0,5.0,0.992859121579838
catchparis,2,9.0,0.0,10.0,0.992859121579838
manbear,2,7.0,0.0,7.0,0.992859121579838
paris’s,2,6.0,0.0,7.0,0.992859121579838
reject,2,6.0,6.0,6.0,0.992859121579838
sepulchre,2,8.0,0.0,9.0,0.992859121579838
‘naught,2,7.0,0.0,7.0,0.992859121579838
mikado’s,2,7.0,0.0,8.0,0.992859121579838
1951,2,4.0,0.0,4.0,0.992859121579838
stud,2,4.0,4.0,4.0,0.992859121579838
scaurdale,2,8.0,0.0,9.0,0.992859121579838
kindness’,2,9.0,0.0,9.0,0.992859121579838
unmarked,2,6.0,7.0,8.0,0.992859121579838
soyuz2,2,6.0,0.0,6.0,0.992859121579838
dom,2,3.0,3.0,3.0,0.992859121579838
‘son,2,4.0,0.0,4.0,0.992859121579838
narada,2,6.0,0.0,6.0,0.992859121579838
versed,2,4.0,4.0,6.0,0.992859121579838
retracted,2,7.0,9.0,9.0,0.992859121579838
dden,2,4.0,0.0,4.0,0.992859121579838
—even,2,5.0,0.0,5.0,0.992859121579838
sitti,2,5.0,0.0,5.0,0.992859121579838
begone’,2,7.0,0.0,7.0,0.992859121579838
incubated,2,5.0,0.0,9.0,0.992859121579838
filched,2,5.0,5.0,7.0,0.992859121579838
matty,2,5.0,4.0,5.0,0.992859121579838
tllbeast,2,8.0,0.0,8.0,0.992859121579838
excited—and,2,11.0,0.0,11.0,0.992859121579838
varicoloured,2,10.0,0.0,12.0,0.992859121579838
pye,2,3.0,2.0,3.0,0.992859121579838
york’,2,5.0,0.0,5.0,0.992859121579838
volta,2,5.0,5.0,5.0,0.992859121579838
tamtams,2,6.0,0.0,7.0,0.992859121579838
bethink,2,7.0,0.0,7.0,0.992859121579838
lik,2,3.0,0.0,3.0,0.992859121579838
uncrewed,2,6.0,0.0,8.0,0.992859121579838
pared,2,4.0,4.0,5.0,0.992859121579838
angiosperms,2,10.0,0.0,11.0,0.992859121579838
aromatic,2,6.0,8.0,8.0,0.992859121579838
